"turniej","(m) <śr.-w.-niem. turnei, z fr. turnoi> 1. zawody sportowe, w których uczestniczy wielu sportowców lub drużyn: turniej tenisowy, stawać do turnieju; 2. dawn. średniowieczne zawody rycerskie, przebiegające według ściśle określonych zasad z zachowaniem określonego ceremoniału, polegające na toczeniu indywidualnych lub zbiorowych walk konnych lub pieszo, odbywające się głównie na dworach królewskich lub książęcych"
"ochra","(ż) <gr. ?chra od ?chrós bladożółty> 1. kolor brunatny przechodzący w żółty lub czerwony; 2. glinka o zabarwieniu żółtym lub brunatnym, służąca do wyrobu farb"
"piedestał","(m) <fr. piédestal, z wł. piedistallo (z pi? di stallo noga ławy)> 1. podstawa, na której stawia się pomnik, popiersie; cokół, postument; 2. przen. wysoka pozycja kogoś: wynieść kogo na piedestał, być na piedestale, spaść z piedestału"
"kalpa","(ż) <sanskr.> w hinduizmie okres obejmujący cały cykl kosmiczny od powstania do końca świata"
"hurysa","(ż) <fr. houri, z pers. h?ri> przen. o pięknej dziewczynie; wg Koranu w muzułmańskim raju hurysy były nagrodą za pobożne życie"
"seksualny","(przym.) <ang. sexual, fr. sexuel, od łac. sexus płeć, sexualis płciowy> dotyczący płci, mający związek z życiem płciowym; płciowy"
"sygnatariusz","(m) <fr. signataire> państwo zawierające umowę międzynarodową; osoba podpisująca umowę ? sygnować co, sygnatura"
"miniatura","(ż) <wł. miniatura> 1. coś bardzo małego; 2. zmniejszony model większego pierwowzoru  miniaturyzacja, miniaturyzować co, zminiaturyzować, zminiaturyzowany; 3. rodzaj malarstwa o niewielkim formacie  miniaturowy, miniaturzysta: miniatura średniowieczna"
"ibis","(m) <gr., z egip.> zool. duży ptak z rodziny Threskiornithidae, obejmujący wiele gatunków, charakteryzujący się długim, przeważnie wygiętym ku dołowi dziobem, zamieszkujący bagniste i wilgotne obszary Afryki, Ameryki i Azji"
"agnostycyzm","(m) <gr. á-gn?stos: nieznany, niepoznawalny> 1. filoz pogląd, że jest niemożliwe pełne i obiektywne poznanie rzeczywistości; 2. postawa wątpienia lub niewiary w co  agnostyk, agnostyczny"
"dingo","(n) <ang., z austral.> zool. Canis dingo, dziki, drapieżny pies australijski"
"monogamia","(ż) <gr. monogamía> . małżeństwo jednego mężczyzny z jedną kobietą; jednożeństwo; 2. zool. współżycie płciowe samca z jedną, tą samą samicą (niekiedy przez całe życie)"
"feminista","(m) <fr. féministe, ang. feminist od łac. femina kobieta> zwolennik, propagator feminizmu, praw kobiet: być feministą  feministka, feminizm"
